feature,mean_abs_shap
RevolvingUtilizationOfUnsecuredLines,0.6065682459234644
TotalLatePayments,0.4233315189878649
age,0.2180228161955128
HasAnyLatePayment,0.13417865488058556
DebtRatio,0.10022204618960838
NumberRealEstateLoansOrLines,0.08927424194712724
NumberOfOpenCreditLinesAndLoans,0.08856842463094482
DebtPerDependent,0.08391467268605449
LoansPerIncome,0.07711869537430523
NumberOfTimes90DaysLate,0.05518245464516869
MonthlyIncome,0.051293745115865784
NumberOfTime30-59DaysPastDueNotWorse,0.0362043893324789
NumberOfTime60-89DaysPastDueNotWorse,0.02532699677539223
NumberOfDependents,0.013827652124459805
IsYoung,4.167956249435869e-06
